Time,ax,ay,az,gx,gy ,gz ,r ,p,y,manual,heart
6012,1.016,0.196,0.004,-0.56,-0.97,4.38,-79.085,88.837,37.628,1,338
6034,1.024,0.208,0.016,1.11,-0.83,3.83,-78.491,85.608,37.564,1,326
6054,1.024,0.212,0.008,-0.83,-0.14,4.1,-78.301,87.845,37.607,1,314
6075,1.024,0.204,0.012,-0.42,-0.07,4.24,-78.72,86.64,37.607,1,319
6096,1.02,0.208,0,-1.39,0.14,5.63,-78.48,90.007,37.607,1,375
6117,1.024,0.2,0,-2.02,0.35,6.26,-79.078,87.669,37.607,1,303
6137,1.016,0.192,0.012,-5.77,-0.21,5.84,-78.593,82.191,37.607,1,175
6158,1.024,0.208,0.036,-0.83,0.28,4.38,-80.094,104.357,37.172,1,351
6179,0.992,0.188,-0.004,2.02,-1.6,4.17,-79.272,91.226,37.085,1,366
6200,1.028,0.192,0.008,-6.82,4.1,4.31,-79.418,87.621,37.279,1,370
6221,1.02,0.184,0.008,-1.74,1.88,5.91,-79.771,87.517,37.033,1,360
6242,1.016,0.192,0.004,2.78,1.25,5.77,-79.302,88.813,37.108,1,358
6262,1.028,0.208,0.008,-3.41,3.06,5.43,-78.559,87.804,37.108,1,359
6284,1.024,0.188,0.02,0.07,1.74,5.22,-79.545,83.934,37.108,1,367
6304,1.024,0.204,0.004,-0.07,2.09,6.05,-78.78,91.13,37.108,1,371
6325,1.016,0.196,-0.004,-1.6,3.2,5.36,-79.56,91.226,37.108,1,390
6346,1.02,0.192,0.004,-2.02,2.92,5.08,-79.731,87.517,36.909,1,394
