Time,ax,ay,az,gx,gy ,gz ,r ,p,y,manual,heart
5379,1.02,0.152,-0.064,-4.45,1.53,1.95,-80.821,112.842,39.22,0,309
5400,1.024,0.156,-0.044,-5.5,3.27,2.92,-80.906,105.759,39.22,0,317
5421,1.004,0.164,-0.06,-7.03,2.92,4.1,-80.333,113.034,39.233,0,332
5442,1.028,0.164,-0.044,-2.92,0.83,5.36,-80.995,104.044,39.238,0,338
5463,1.036,0.156,-0.068,-2.99,2.99,3.62,-80.678,113.561,39.173,0,340
5483,1.04,0.168,-0.02,-2.37,3.13,3.41,-80.766,96.796,39.255,0,348
5505,1.044,0.176,-0.028,-2.43,2.92,1.81,-80.319,99.047,39.161,0,348
5525,1.048,0.176,-0.032,-2.78,1.04,2.43,-80.319,100.312,39.223,0,353
5547,1.044,0.172,-0.064,1.6,-1.25,2.23,-80.036,110.418,39.223,0,343
5567,1.028,0.168,-0.056,2.71,-1.11,1.81,-79.884,106.468,39.223,0,321
5587,1.028,0.18,-0.052,1.53,-0.14,3.48,-79.843,101.317,39.223,0,313
5609,1.016,0.172,-0.044,1.88,-0.97,1.39,-80.08,108.443,39.237,0,329
5629,1.02,0.172,-0.036,3.2,-1.11,1.6,-80.231,101.829,39.037,0,330
5650,1.028,0.168,-0.072,1.81,2.3,3.2,-79.924,113.207,39.059,0,326
5671,1.016,0.164,-0.056,3.41,0.21,3.41,-80.326,108.861,39.297,0,326
5692,1.024,0.164,-0.044,3.69,0.28,3.13,-80.591,105.026,39.192,0,321
5713,1.028,0.176,-0.036,2.02,-0.14,4.8,-80.093,101.568,39.277,0,322
5734,1.032,0.18,-0.052,2.5,-0.83,5.01,-79.821,107.658,39.277,0,323
5754,1.028,0.168,-0.056,3.41,-1.88,4.8,-80.335,107.206,39.277,0,325
5776,1.032,0.168,-0.056,4.03,-2.3,4.8,-79.981,105.263,39.277,0,328
5796,1.028,0.176,-0.072,2.43,-1.04,4.59,-79.526,112.257,39.277,0,340
5818,1.036,0.164,-0.052,3.2,-0.7,4.52,-80.577,107.6,38.907,0,344
5838,1.032,0.164,-0.06,3.2,-0.9,5.22,-80.402,110.103,38.947,0,341
5859,1.024,0.172,-0.068,3.76,-1.39,5.22,-79.768,111.58,38.869,0,341
5880,1.024,0.176,-0.072,3.55,-1.32,6.96,-79.486,112.257,38.963,0,325
5901,1.028,0.172,-0.06,3.48,-0.9,5.43,-79.922,106.468,38.983,0,341
5922,1.036,0.176,-0.06,1.67,0.77,4.1,-79.367,111.81,38.983,0,334
5943,1.028,0.172,-0.076,0.56,1.18,4.24,-79.924,113.207,38.983,0,336
5963,1.028,0.164,-0.072,1.67,0.97,4.94,-80.122,113.711,38.983,0,335
5985,1.032,0.16,-0.064,1.04,0.83,4.45,-80.526,111.81,38.983,0,456
6005,1.024,0.156,-0.06,1.11,0.7,4.52,-80.736,111.046,38.805,0,288
6027,1.028,0.168,-0.056,-1.46,-0.21,4.73,-80.232,108.443,38.753,0,291
6047,1.028,0.144,-0.096,5.77,-3.55,1.25,-80.45,123.699,38.726,0,332
6068,1.024,0.168,-0.064,0.97,-2.3,2.99,-80.048,110.863,38.664,0,333
6089,1.044,0.168,-0.064,-2.92,3.27,3.69,-80.625,114.784,38.609,0,335
6110,1.028,0.156,-0.088,1.74,1.6,3.34,-80.328,117.158,38.609,0,342
6131,1.032,0.156,-0.064,5.08,-0.7,4.17,-80.806,111.046,38.609,0,355
6152,1.036,0.152,-0.076,3.13,0.21,3.9,-80.69,116.574,38.609,0,368
6172,1.028,0.156,-0.072,2.3,0.83,4.59,-80.518,114.784,38.609,0,394
