Time,ax,ay,az,gx,gy ,gz ,r ,p,y,manual,heart
4402,0.96,0.288,0.132,0.14,1.95,5.84,-71.742,65.381,44.074,0,450
4422,0.956,0.28,0.136,1.74,1.67,5.29,-71.97,64.098,43.862,0,482
4444,0.968,0.272,0.124,2.64,1.88,6.05,-72.844,65.497,44.103,0,498
4464,0.984,0.276,0.116,0.49,2.99,6.61,-73.064,66.506,43.801,0,521
4485,0.988,0.272,0.12,1.25,3.55,5.84,-73.301,65.175,44.016,0,496
4506,0.984,0.264,0.128,2.02,2.99,5.91,-73.309,63.783,43.975,0,476
4527,0.988,0.264,0.116,0.97,3.27,6.54,-73.735,66.284,43.975,0,446
4547,0.984,0.268,0.108,-1.53,4.59,6.89,-73.641,68.056,43.975,0,442
4569,0.984,0.272,0.124,-2.43,5.01,6.82,-73.107,65.497,43.975,0,452
4589,0.984,0.268,0.136,-0.83,4.94,6.47,-73.022,63.099,43.975,0,484
4610,0.976,0.264,0.14,-2.78,6.26,5.84,-72.982,62.067,43.619,0,524
4631,0.98,0.264,0.14,-4.03,7.72,4.94,-73.048,62.067,43.452,0,555
4652,0.968,0.248,0.16,-3.9,5.91,4.31,-72.564,56.314,43.53,0,521
4672,0.96,0.252,0.164,-3.27,3.69,4.52,-72.408,57.136,43.377,0,520
4694,0.976,0.268,0.16,-4.1,4.31,4.8,-72.195,60.169,43.501,0,452
4714,0.964,0.276,0.132,-5.29,6.12,5.7,-72.398,64.445,43.501,0,442
4734,0.956,0.256,0.16,-1.81,6.54,4.1,-72.48,57.999,43.501,0,525
4756,0.972,0.228,0.18,3.9,3.34,3.55,-73.366,51.714,43.501,0,388
4776,0.988,0.256,0.16,1.53,3.34,6.05,-73.015,57.999,43.501,0,434
4797,1.016,0.252,0.128,7.86,3.48,3.55,-74.459,63.077,43.369,0,474
4818,1.008,0.268,0.184,3.62,6.05,3.2,-72.981,56.729,43.276,0,505
4839,0.98,0.248,0.164,1.39,5.43,3.55,-73.166,57.833,43.146,0,512
4859,0.964,0.256,0.152,2.16,2.99,5.5,-71.721,60.26,43.532,0,508
4881,0.976,0.284,0.148,3.48,4.87,5.29,-71.863,64.727,43.374,0,463
4901,0.964,0.28,0.14,2.37,6.12,6.47,-72.015,63.44,43.374,0,448
4922,0.98,0.292,0.14,-4.17,9.46,7.03,-71.72,64.389,43.374,0,443
4943,0.972,0.284,0.148,-1.25,6.96,8.14,-71.77,62.479,43.374,0,449
4964,0.984,0.284,0.144,1.39,6.54,8.07,-72.074,63.118,43.374,0,481
4984,0.98,0.264,0.148,1.11,8.49,6.54,-72.843,60.729,43.028,0,499
5006,0.952,0.232,0.14,-4.31,7.51,5.91,-73.752,59.041,42.963,0,498
5026,0.968,0.256,0.144,-9.67,7.93,6.19,-72.311,59.801,42.934,0,486
5047,0.976,0.276,0.164,-2.64,7.44,5.01,-71.938,58.303,42.934,0,485
5068,0.984,0.244,0.184,-0.83,8.56,3.76,-72.752,52.984,42.818,0,435
5089,0.992,0.216,0.184,-1.53,8.83,2.78,-74.043,49.578,42.818,0,423
5109,0.984,0.236,0.176,-6.96,9.46,5.43,-73.349,53.29,42.818,0,422
5131,0.964,0.272,0.18,-8.21,7.93,9.81,-71.312,56.509,42.818,0,457
5151,0.988,0.276,0.212,-4.73,9.46,11.13,-70.6,52.475,42.818,0,519
